frame,ECM
0,269.512408854
1,128.177174479
2,123.869570313
3,112.715559896
4,183.281471354
5,67.6969270833
6,139.290572917
7,135.926263021
8,143.452291667
9,90.6380598958
10,85.108046875
11,328.810104167
12,201.824010417
13,290.178111979
14,238.990377604
15,118.428971354
16,246.84390625
17,630.330442708
18,601.031588542
19,226.892708333
20,495.800104167
21,429.512122396
22,328.794661458
23,367.890651042
24,234.895299479
25,0.0
26,0.0020703125
Convirtiendo texto a pepe.avi
