frame,ECM
0,245.785846354
1,103.430355903
2,95.4888541667
3,156.406475694
4,166.402300347
5,534.832200521
6,545.720855035
7,94.8090190972
8,71.2997569444
9,12.9473871528
10,13.7682855903
11,34.7873914931
12,13.3258810764
13,4.69451822917
14,44.4033420139
15,10.9114105903
16,11.1402039931
17,11899.8893142
18,2074.83402344
19,1198.72965712
20,1249.48416233
21,1837.12769097
22,1953.74752604
23,2122.56637587
24,1584.71585938
25,699.479487847
26,966.836979167
27,2672.42330295
28,76.4923958333
29,76.8774045139
30,145.628619792
31,249.413220486
32,301.777161458
33,311.584978299
34,330.278480903
35,323.717573785
36,344.981579861
37,584.186197917
38,565.004149306
39,542.123012153
40,526.506536458
41,469.373676215
42,460.927894965
43,529.435976562
44,544.965264757
45,455.763480903
46,390.949236111
47,286.284227431
48,304.028016493
49,167.402999132
50,3636.3803559
51,1802.09023003
52,1354.1052691
53,700.112929688
54,1014.65898438
55,1077.89891059
56,1844.79710069
57,394.350416667
58,746.110342882
59,902.155277778
60,2257.89360243
61,840.304166667
62,1397.92491753
63,2493.35298177
64,1077.28577691
65,1968.5078342
66,833.728250868
67,1321.36600694
68,693.671532118
69,8865.98674045
70,176.551740451
71,79.2457291667
72,109.036909722
73,122.701358507
74,61.2633897569
75,219.940863715
76,168.081996528
77,70.5302864583
78,118.891918403
79,140.507925347
80,123.626276042
81,86.2770703125
82,75.7273828125
83,61.93265625
84,51.3436892361
85,36.71890625
86,28.3006380208
87,24.0074479167
88,17.8596440972
89,198.883394097
90,171.382591146
91,241.914166667
92,213.197382812
93,192.823077257
94,207.756636285
95,300.917903646
96,468.095902778
97,3382.07112847
98,601.153689236
99,559.527460937
100,540.064322917
101,1046.72719184
102,2090.36625
103,1269.1987717
104,1274.01118924
105,116.353146701
106,245.287825521
107,222.908858507
108,127.135403646
109,139.339023438
110,226.171050347
111,86.6981640625
112,166.585516493
113,176.233085937
114,222.966050347
115,46.6894965278
116,9928.34445313
117,400.611011285
118,468.369778646
119,579.414552951
120,541.34078125
121,621.864809028
122,866.808888889
123,911.602790799
124,1049.68361979
125,748.336957465
126,524.368467882
127,240.763090278
128,228.014344618
129,231.076119792
130,4319.69528646
131,168.008927951
132,174.441892361
133,189.859835069
134,277.320980903
135,286.34640625
136,340.89905816
137,200.535047743
138,208.864761285
139,203.28969184
140,208.011901042
Convirtiendo texto a pepe.avi
