frame,ECM
0,73.3505859375
1,91.7970052083
2,86.6593098958
3,98.8071223958
4,69.7925
5,59.9606901042
6,76.9702213542
7,42.5329427083
8,124.723294271
9,116.152578125
10,87.8193098958
11,93.6144010417
12,77.8720052083
13,166.629270833
14,125.734140625
15,177.059635417
16,278.043580729
17,142.416171875
18,135.878919271
19,89.2072395833
20,42.873359375
21,32.90375
22,16.7872786458
23,22.496015625
24,10.9058723958
25,9.88924479167
26,15.6151432292
27,9.15380208333
28,12.1093880208
29,10.4716666667
30,7.75822916667
31,6.5447265625
32,2.23559895833
33,2.610546875
34,1.0226953125
35,1.27423177083
36,2.1053515625
37,2.38895833333
38,10.013046875
39,26.6870182292
40,88.4727604167
41,149.596510417
42,107.937604167
43,71.8100651042
44,30.6326041667
45,14.6162239583
46,5.9844140625
47,5.2136328125
48,17.1223958333
49,9.009453125
50,29.056328125
51,56.3083854167
52,56.3823697917
53,88.6088020833
54,45.7282161458
55,27.5671223958
56,13.3273177083
57,5.0502734375
58,3.440078125
59,6.031328125
60,11.7691015625
61,21.6840755208
62,43.3570963542
63,107.706171875
64,97.5983854167
65,80.7389973958
66,124.887109375
67,115.698632812
68,158.034908854
69,132.876419271
70,139.375481771
71,188.51625
72,153.220169271
73,285.055820312
74,141.364166667
75,139.050572917
76,280.833463542
77,162.596223958
78,213.981236979
79,216.443033854
80,381.2709375
81,354.281510417
82,648.239960937
83,3038.94574219
84,72.4912369792
85,33.2575520833
86,5.31669270833
87,2.40049479167
88,1.00658854167
89,2.57016927083
90,8.237265625
91,14.9803125
92,13.7121875
93,21.2412239583
94,21.9494270833
95,20.767109375
96,37.9903515625
97,23.6482682292
98,48.3352864583
99,63.8255989583
100,95.9578645833
101,117.264505208
102,54.9158203125
103,65.1173958333
104,35.3440625
105,42.4652994792
106,66.8487630208
107,37.546015625
108,49.3982552083
109,41.3785416667
110,35.569453125
111,28.0860026042
112,10.1060026042
113,13.1996484375
114,3.24401041667
115,1.95822916667
116,1.84420572917
117,0.923606770833
118,0.377083333333
119,0.721731770833
120,0.648268229167
121,0.878697916667
122,0.827513020833
123,1.26458333333
124,1.96494791667
125,3.25588541667
126,18.286875
127,35.1657291667
128,285.039973958
129,1442.17286458
130,52.4667578125
131,52.8406770833
132,24.0462369792
133,42.8523697917
134,24.9444921875
Convirtiendo texto a pepe.avi
