frame,ECM
0,47.8656404321
1,39.1854089506
2,140.634228395
3,350.086180556
4,954.368719136
5,1026.48414352
6,1301.02422068
7,1310.18723765
8,1590.20018519
9,4087.73719907
10,479.810671296
11,356.192800926
12,271.750925926
13,289.518063272
14,294.576535494
15,348.033179012
16,330.43224537
17,366.597260802
18,316.056419753
19,303.404359568
20,398.988140432
21,471.325563272
22,443.244089506
23,433.751427469
24,507.93537037
25,480.460625
26,614.802970679
27,684.485740741
28,629.429969136
29,618.35783179
30,525.964837963
31,442.778842593
32,603.948333333
33,900.362260802
34,893.045895062
35,1130.00940586
36,1121.4437037
37,1121.50209105
38,1341.3427392
39,981.053973765
40,799.363248457
41,751.443935185
42,721.717993827
43,770.290239198
44,905.730162037
45,982.119513889
46,1096.2350463
47,1004.65517747
48,1406.29906636
49,920.800030864
50,992.690169753
51,680.095709877
52,867.803780864
53,796.36945216
54,776.157229938
55,698.498464506
56,910.20591821
57,1129.15739969
58,1132.02817901
59,1194.53221451
60,859.584259259
61,1003.51618827
62,939.075146605
63,765.774158951
64,994.163040123
65,1005.31618827
66,734.687777778
67,614.15087963
68,472.987029321
69,236.552631173
70,214.388618827
71,287.783719136
72,542.894220679
73,505.150362654
74,578.802376543
75,651.854444444
76,545.835061728
77,701.83720679
78,904.118719136
79,1194.08975309
80,911.766875
81,765.87216821
82,729.943449074
83,870.422561728
84,827.314228395
85,903.49033179
86,923.52691358
87,1106.64791667
88,1011.78382716
89,1152.27570988
90,912.70779321
91,858.220208333
92,724.446658951
93,719.800486111
94,834.98882716
95,1182.93404321
96,1389.46793981
97,1216.88306327
98,1464.26804012
99,1063.39007716
100,979.627592593
101,1260.78385031
102,986.151304012
103,931.013009259
104,1414.09672068
Convirtiendo texto a pepe.avi
