frame,ECM
0,34.551882716
1,23.9244444444
2,122.690030864
3,278.247253086
4,889.652808642
5,951.372330247
6,1165.6555787
7,1187.78050154
8,1554.41743056
9,3728.83684414
10,378.778287037
11,306.469807099
12,235.245231481
13,248.294845679
14,265.854598765
15,310.575887346
16,298.644089506
17,335.040694444
18,285.632816358
19,260.442762346
20,364.606635802
21,420.256805556
22,406.681257716
23,402.187847222
24,454.120516975
25,423.592175926
26,571.882631173
27,625.963780864
28,562.969259259
29,573.344799383
30,454.988850309
31,387.548117284
32,540.957183642
33,768.730277778
34,757.514591049
35,993.066851852
36,970.957013889
37,968.798487654
38,1122.12023148
39,858.103842593
40,714.590493827
41,665.923572531
42,622.029375
43,661.336358025
44,818.500601852
45,906.740131173
46,967.830354938
47,909.309035494
48,1284.12344136
49,800.629166667
50,934.776126543
51,607.079683642
52,776.013966049
53,697.433094136
54,682.331975309
55,607.030694444
56,829.452993827
57,1014.12608025
58,966.620285494
59,1057.51555556
60,752.504637346
61,873.279660494
62,791.667253086
63,675.001157407
64,905.210100309
65,937.867986111
66,665.737384259
67,562.965972222
68,410.185895062
69,229.088703704
70,183.915817901
71,244.277368827
72,480.009714506
73,452.794853395
74,521.010871914
75,593.087399691
76,486.81945216
77,605.902384259
78,810.083109568
79,1074.18263889
80,810.605324074
81,700.923873457
82,626.984544753
83,746.573179012
84,714.209205247
85,791.705987654
86,812.665138889
87,1012.78837191
88,888.35804784
89,1008.97294753
90,782.038518519
91,762.788518519
92,639.239753086
93,639.97929784
94,755.58462963
95,1029.48698302
96,1238.53846451
97,1042.81686728
98,1318.68957562
99,948.475285494
100,889.333603395
101,1183.80384259
102,827.042114198
103,787.308364198
104,1185.26591049
Convirtiendo texto a pepe.avi
