frame,ECM
0,65.8163671875
1,78.3104947917
2,81.3747786458
3,91.8373958333
4,63.1866276042
5,54.6138541667
6,70.0786458333
7,40.4980078125
8,109.131861979
9,104.034492188
10,86.4527213542
11,89.9188151042
12,79.3563411458
13,154.279882813
14,121.020872396
15,165.196861979
16,249.103203125
17,136.613645833
18,116.904557292
19,83.6526692708
20,38.30609375
21,32.2752604167
22,16.9635677083
23,22.9644661458
24,10.3064713542
25,9.7736328125
26,15.109609375
27,9.11490885417
28,11.7968098958
29,9.959375
30,7.4444921875
31,6.4380078125
32,2.44985677083
33,2.9603125
34,0.969036458333
35,1.11346354167
36,1.6165234375
37,1.29546875
38,9.46661458333
39,20.8536458333
40,87.1722395833
41,137.116158854
42,96.3333854167
43,69.1329296875
44,24.1861458333
45,12.921875
46,5.88447916667
47,4.69125
48,15.0881770833
49,7.63092447917
50,25.7205338542
51,46.6819401042
52,53.9293229167
53,77.3086328125
54,40.4558072917
55,24.5993098958
56,10.0783984375
57,3.651640625
58,2.87307291667
59,4.61255208333
60,11.3598567708
61,17.9404947917
62,40.5181380208
63,89.6321354167
64,92.1915104167
65,77.7026171875
66,122.233997396
67,116.810963542
68,141.830572917
69,123.286966146
70,132.475338542
71,168.336158854
72,159.264427083
73,276.376640625
74,129.935208333
75,125.165950521
76,256.709570312
77,158.450494792
78,191.990807292
79,192.459361979
80,334.940677083
81,281.678268229
82,743.620885417
83,2814.9471875
84,0.00424479166667
85,0.00481770833333
86,0.0054296875
87,0.00536458333333
88,0.419674479167
89,1.69641927083
90,7.4896484375
91,12.4116666667
92,11.9486328125
93,18.4922265625
94,19.96
95,18.6097005208
96,37.014609375
97,22.7702994792
98,44.9893489583
99,56.4692057292
100,100.308463542
101,117.730403646
102,53.3912760417
103,62.4299479167
104,33.4392708333
105,40.6557682292
106,63.2499088542
107,36.94796875
108,46.2465494792
109,39.9144661458
110,32.2484114583
111,26.6920442708
112,9.24364583333
113,12.5292578125
114,2.63052083333
115,2.01927083333
116,1.69483072917
117,1.03139322917
118,0.520260416667
119,0.828854166667
120,0.762708333333
121,1.0741796875
122,0.9901171875
123,1.36088541667
124,0.690950520833
125,0.741614583333
126,3.4590625
127,2.56950520833
128,336.363059896
129,1330.26736979
130,20.7820963542
131,34.953125
132,30.0736979167
133,49.2160807292
134,8.839296875
Convirtiendo texto a pepe.avi
