frame,ECM
0,141.622092014
1,102.379184028
2,75.7044314236
3,123.575303819
4,155.992278646
5,272.930611979
6,278.538381076
7,120.325034722
8,36.9509461806
9,16.8028949653
10,10.7283810764
11,17.5878211806
12,7.00218315972
13,4.82269097222
14,21.5035416667
15,10.3023741319
16,1350.29556858
17,5393.36077257
18,1471.76724826
19,1092.36778646
20,961.896510417
21,1289.17295139
22,1502.58907118
23,1672.01214844
24,1128.98841146
25,680.804179687
26,955.667699653
27,1655.76828559
28,55.5336197917
29,56.4505555556
30,122.161853299
31,175.187139757
32,231.463376736
33,234.830598958
34,263.534739583
35,251.079027778
36,953.786896701
37,1063.69557726
38,410.915568576
39,400.962942708
40,377.013784722
41,345.378606771
42,337.529969618
43,365.554926215
44,375.814236111
45,350.979809028
46,240.493637153
47,217.822834201
48,182.982356771
49,129.222686632
50,2163.06789063
51,1584.26016927
52,754.803715278
53,642.621935764
54,758.327161458
55,820.239414063
56,1203.81700955
57,551.359674479
58,570.545251736
59,671.614474826
60,1660.40242188
61,845.204361979
62,1292.29644531
63,1704.83576389
64,956.517070312
65,1531.13927083
66,731.750386285
67,911.155633681
68,1423.10644965
69,4222.10701823
70,103.960260417
71,70.0306987847
72,80.1821657986
73,84.4048567708
74,66.0328211806
75,119.063246528
76,101.443971354
77,63.7159592014
78,841.842200521
79,836.87719184
80,80.7522569444
81,67.9107725694
82,49.0334592014
83,46.2676692708
84,34.2456163194
85,28.0901432292
86,20.6106640625
87,16.5675954861
88,335.310303819
89,439.314192708
90,141.900846354
91,166.665516493
92,151.718684896
93,138.054405382
94,152.84687066
95,208.075742187
96,681.057417535
97,1686.93171875
98,435.897777778
99,426.71796875
100,483.016011285
101,650.604921875
102,1647.74821615
103,1099.40442708
104,1183.72397569
105,386.746271701
106,163.393385417
107,153.520794271
108,106.897213542
109,113.758385417
110,135.036341146
111,86.3285503472
112,120.595121528
113,128.253784722
114,128.766814236
115,63.0577604167
116,4526.9231684
117,1353.24312934
118,379.496219618
119,424.697044271
120,421.378381076
121,459.685967882
122,693.440924479
123,702.715959201
124,759.022682292
125,624.549809028
126,304.781675347
127,206.13421875
128,160.279262153
129,164.80999566
130,2027.11152344
131,578.28250434
132,135.962131076
133,134.520963542
134,219.464960937
135,228.740212674
136,703.826054688
137,619.560742187
138,139.185590278
139,137.236072049
140,140.578884549
Convirtiendo texto a pepe.avi
